M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
778713,d51f3181-9500-418f-8a98-6627fbc63a20,461.123,27.5956,46.0815,5.78767,0,,2021-06-05 07:33:15.953888
778714,6f2445f6-a867-4125-a738-dc6fb3223755,681.685,25.1656,54.3015,14.7328,0,,2021-06-05 07:33:17.707439
778715,d51f3181-9500-418f-8a98-6627fbc63a20,460.235,27.6249,46.0953,5.26172,0,,2021-06-05 07:33:32.992012
778716,6f2445f6-a867-4125-a738-dc6fb3223755,682.103,25.1789,54.303,14.7326,0,,2021-06-05 07:33:35.692985
778717,d51f3181-9500-418f-8a98-6627fbc63a20,461.661,27.6249,46.0953,5.7879,0,,2021-06-05 07:33:50.495424
778718,6f2445f6-a867-4125-a738-dc6fb3223755,683.39,25.1656,54.3396,14.7326,0,,2021-06-05 07:33:53.315493
778719,d51f3181-9500-418f-8a98-6627fbc63a20,461.536,27.6516,46.0754,5.78765,0,,2021-06-05 07:34:07.491721
778720,6f2445f6-a867-4125-a738-dc6fb3223755,681.947,25.1789,54.3259,14.2064,0,,2021-06-05 07:34:11.305773
778721,d51f3181-9500-418f-8a98-6627fbc63a20,461.688,27.6249,46.109,5.2615,0,,2021-06-05 07:34:24.483755
778722,6f2445f6-a867-4125-a738-dc6fb3223755,681.388,25.1522,54.3381,14.2064,0,,2021-06-05 07:34:28.933100
778723,d51f3181-9500-418f-8a98-6627fbc63a20,462.588,27.6383,46.1121,5.78767,0,,2021-06-05 07:34:42.685164
778724,6f2445f6-a867-4125-a738-dc6fb3223755,678.595,25.2216,54.3335,14.2064,0,,2021-06-05 07:34:46.465177
778725,d51f3181-9500-418f-8a98-6627fbc63a20,462.694,27.6516,46.0999,5.26172,0,,2021-06-05 07:35:00.221794
778726,6f2445f6-a867-4125-a738-dc6fb3223755,678.571,25.1656,54.3259,14.2064,0,,2021-06-05 07:35:04.206864
778727,d51f3181-9500-418f-8a98-6627fbc63a20,463.688,27.6383,46.1121,5.7879,0,,2021-06-05 07:35:17.712803
778728,6f2445f6-a867-4125-a738-dc6fb3223755,678.395,25.1789,54.3884,14.7326,0,,2021-06-05 07:35:21.720782
778729,d51f3181-9500-418f-8a98-6627fbc63a20,464.793,27.6089,46.1075,5.7879,0,,2021-06-05 07:35:34.763944
778730,6f2445f6-a867-4125-a738-dc6fb3223755,678.246,25.1522,54.3243,14.2064,0,,2021-06-05 07:35:39.729010
778731,d51f3181-9500-418f-8a98-6627fbc63a20,464.399,27.6089,46.0846,5.26172,0,,2021-06-05 07:35:51.847433
778732,6f2445f6-a867-4125-a738-dc6fb3223755,677.626,25.1789,54.3427,14.7326,0,,2021-06-05 07:35:57.336566
778733,d51f3181-9500-418f-8a98-6627fbc63a20,466.68,27.6383,46.0754,5.78767,0,,2021-06-05 07:36:08.337469
778734,6f2445f6-a867-4125-a738-dc6fb3223755,677.909,25.1923,54.3167,14.2064,0,,2021-06-05 07:36:15.309229
778735,d51f3181-9500-418f-8a98-6627fbc63a20,467.799,27.6249,46.0846,5.7879,0,,2021-06-05 07:36:25.304259
778736,6f2445f6-a867-4125-a738-dc6fb3223755,678.184,25.1522,54.3106,14.2064,0,,2021-06-05 07:36:32.948310
778737,d51f3181-9500-418f-8a98-6627fbc63a20,469.255,27.6249,46.0846,5.7879,0,,2021-06-05 07:36:42.308193
778738,6f2445f6-a867-4125-a738-dc6fb3223755,677.778,25.1923,54.3289,14.2064,0,,2021-06-05 07:36:50.432675
778739,d51f3181-9500-418f-8a98-6627fbc63a20,469.004,27.6383,46.1121,5.7879,0,,2021-06-05 07:36:59.789126
778740,6f2445f6-a867-4125-a738-dc6fb3223755,676.816,25.1923,54.3427,14.2067,0,,2021-06-05 07:37:08.448683
778741,d51f3181-9500-418f-8a98-6627fbc63a20,468.443,27.6249,46.0724,5.7879,0,,2021-06-05 07:37:16.791057
778742,6f2445f6-a867-4125-a738-dc6fb3223755,676.58,25.1789,54.3533,14.2064,1,,2021-06-05 07:37:26.048737
778743,d51f3181-9500-418f-8a98-6627fbc63a20,469.228,27.6249,46.109,5.7879,0,,2021-06-05 07:37:33.808978
778744,6f2445f6-a867-4125-a738-dc6fb3223755,675.979,25.1522,54.3106,14.2064,0,,2021-06-05 07:37:43.571436
778745,d51f3181-9500-418f-8a98-6627fbc63a20,470.846,27.6383,46.0983,5.7879,0,,2021-06-05 07:37:50.851465
