m_id,sensor_uuid,co2,temperature,humidity,distance,movements,measure_timestamp,insert_timestamp
45789,d51f3181-9500-418f-8a98-6627fbc63a20,571.794,22.6928,30.5191,1.05234,0,,2021-03-27T08:35:34.550Z
45792,d51f3181-9500-418f-8a98-6627fbc63a20,564.19,22.7783,30.5573,1.57852,0,,2021-03-27T08:36:25.447Z
45795,d51f3181-9500-418f-8a98-6627fbc63a20,564.399,22.8477,30.5481,1.57852,0,,2021-03-27T08:37:16.623Z
45800,d51f3181-9500-418f-8a98-6627fbc63a20,580.132,22.9332,30.5283,1.57852,0,,2021-03-27T08:38:42.027Z
45802,d51f3181-9500-418f-8a98-6627fbc63a20,589.983,23.0026,30.5618,1.57829,0,,2021-03-27T08:39:16.121Z
45803,d51f3181-9500-418f-8a98-6627fbc63a20,595.707,23.032,30.6107,,0,,2021-03-27T08:39:33.451Z
45806,d51f3181-9500-418f-8a98-6627fbc63a20,604.558,23.1334,30.5878,1.05234,0,,2021-03-27T08:40:24.298Z
45808,d51f3181-9500-418f-8a98-6627fbc63a20,614.005,23.1601,30.5603,1.05234,0,,2021-03-27T08:40:58.479Z
45810,d51f3181-9500-418f-8a98-6627fbc63a20,625.865,23.2883,30.6442,,0,,2021-03-27T08:41:33.055Z
45812,d51f3181-9500-418f-8a98-6627fbc63a20,630.323,23.3738,30.6671,1.05234,0,,2021-03-27T08:42:07.084Z
45813,d51f3181-9500-418f-8a98-6627fbc63a20,630.799,23.4298,30.6152,1.05234,0,,2021-03-27T08:42:24.074Z
45814,d51f3181-9500-418f-8a98-6627fbc63a20,638.912,23.4566,30.6015,1.05234,0,,2021-03-27T08:42:40.788Z
45816,d51f3181-9500-418f-8a98-6627fbc63a20,646.478,23.542,30.5511,,0,,2021-03-27T08:43:15.457Z
45820,d51f3181-9500-418f-8a98-6627fbc63a20,657.611,23.7129,30.5374,,0,,2021-03-27T08:44:23.674Z
45825,d51f3181-9500-418f-8a98-6627fbc63a20,667.211,23.9265,30.3909,1.05234,0,,2021-03-27T08:45:48.691Z
45828,d51f3181-9500-418f-8a98-6627fbc63a20,680.023,24.052,30.4321,,0,,2021-03-27T08:46:40.312Z
45830,d51f3181-9500-418f-8a98-6627fbc63a20,688.513,24.1642,30.3513,,0,,2021-03-27T08:47:14.439Z
