M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
911702,d51f3181-9500-418f-8a98-6627fbc63a20,1120.8,28.402,44.2322,6.84024,0,,2021-06-16 00:00:02.260105
911703,daa63802-cd45-4a4a-938d-9d259fb11ae2,904.717,26.952,49.9496,1.05234,0,,2021-06-16 00:00:15.224316
911707,6f2445f6-a867-4125-a738-dc6fb3223755,953.873,26.8132,48.6389,1.05234,0,,2021-06-16 00:00:33.538323
911708,d51f3181-9500-418f-8a98-6627fbc63a20,1120.56,28.418,44.2352,6.84024,0,,2021-06-16 00:00:36.472059
911709,daa63802-cd45-4a4a-938d-9d259fb11ae2,914.24,26.9654,50.0137,1.05212,0,,2021-06-16 00:00:49.445247
911712,6f2445f6-a867-4125-a738-dc6fb3223755,958.876,26.8132,48.7579,1.05234,0,,2021-06-16 00:01:09.152204
911713,d51f3181-9500-418f-8a98-6627fbc63a20,1119.41,28.418,44.223,6.84024,0,,2021-06-16 00:01:10.088640
911714,daa63802-cd45-4a4a-938d-9d259fb11ae2,917.545,26.952,49.9756,1.05234,0,,2021-06-16 00:01:11.418303
911720,daa63802-cd45-4a4a-938d-9d259fb11ae2,935.052,26.952,50.0366,1.05234,0,,2021-06-16 00:01:47.577458
911722,6f2445f6-a867-4125-a738-dc6fb3223755,971.382,26.8132,48.7717,1.05212,0,,2021-06-16 00:02:02.149183
911723,daa63802-cd45-4a4a-938d-9d259fb11ae2,937.654,26.952,50.0732,1.05234,0,,2021-06-16 00:02:05.723255
911727,d51f3181-9500-418f-8a98-6627fbc63a20,1112.33,28.418,44.1986,6.84,0,,2021-06-16 00:02:35.439903
911731,6f2445f6-a867-4125-a738-dc6fb3223755,1012.44,26.8559,48.7762,1.05234,0,,2021-06-16 00:02:55.357094
911732,daa63802-cd45-4a4a-938d-9d259fb11ae2,936.075,26.952,50.1236,1.05234,0,,2021-06-16 00:03:00.072413
