M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
418162,daa63802-cd45-4a4a-938d-9d259fb11ae2,659.754,21.841,46.8323,4.20914,0,,2021-05-09 00:00:06.595694
418166,d51f3181-9500-418f-8a98-6627fbc63a20,512.329,24.2496,36.9339,5.7879,0,,2021-05-09 00:00:30.004679
418169,d51f3181-9500-418f-8a98-6627fbc63a20,511.698,24.2363,37.0148,5.7879,0,,2021-05-09 00:00:47.007498
418173,daa63802-cd45-4a4a-938d-9d259fb11ae2,660.684,21.857,46.6766,3.68321,0,,2021-05-09 00:01:17.482544
418175,d51f3181-9500-418f-8a98-6627fbc63a20,516.362,24.2363,37.0529,5.7879,0,,2021-05-09 00:01:21.021068
418178,6f2445f6-a867-4125-a738-dc6fb3223755,632.02,23.0934,37.7502,2.63086,0,,2021-05-09 00:01:38.042722
418179,daa63802-cd45-4a4a-938d-9d259fb11ae2,656.499,21.841,46.6888,3.68321,0,,2021-05-09 00:01:51.608975
418184,6f2445f6-a867-4125-a738-dc6fb3223755,631.65,23.0934,37.7365,2.63086,0,,2021-05-09 00:02:13.847463
418185,daa63802-cd45-4a4a-938d-9d259fb11ae2,656.904,21.841,46.5897,4.20938,0,,2021-05-09 00:02:27.799071
418186,d51f3181-9500-418f-8a98-6627fbc63a20,583.788,24.2363,37.1887,5.78767,0,,2021-05-09 00:02:29.521439
418190,6f2445f6-a867-4125-a738-dc6fb3223755,627.812,23.0934,37.8372,2.10469,0,,2021-05-09 00:02:48.648286
418195,d51f3181-9500-418f-8a98-6627fbc63a20,602.601,24.2363,37.2955,5.7879,0,,2021-05-09 00:03:20.508718
418198,daa63802-cd45-4a4a-938d-9d259fb11ae2,658.634,21.841,46.5652,4.20938,0,,2021-05-09 00:03:38.153146
418199,6f2445f6-a867-4125-a738-dc6fb3223755,627.293,23.0747,37.8952,3.15681,0,,2021-05-09 00:03:41.750483
418200,d51f3181-9500-418f-8a98-6627fbc63a20,610.633,24.2363,37.3352,5.26172,0,,2021-05-09 00:03:54.497482
418211,daa63802-cd45-4a4a-938d-9d259fb11ae2,663.411,21.8143,46.5485,4.20914,0,,2021-05-09 00:04:54.151361
418212,d51f3181-9500-418f-8a98-6627fbc63a20,652.878,24.2363,37.4832,5.78765,1,,2021-05-09 00:05:03.006208
418214,6f2445f6-a867-4125-a738-dc6fb3223755,622.844,23.1067,37.8403,2.63086,0,,2021-05-09 00:05:10.715386
418219,6f2445f6-a867-4125-a738-dc6fb3223755,621.057,23.0613,37.8052,2.10469,0,,2021-05-09 00:05:46.199173
418223,daa63802-cd45-4a4a-938d-9d259fb11ae2,663.229,21.8277,46.6248,4.20914,0,,2021-05-09 00:06:08.499285
418224,d51f3181-9500-418f-8a98-6627fbc63a20,672.92,24.2363,37.5381,5.78765,0,,2021-05-09 00:06:11.035652
418225,6f2445f6-a867-4125-a738-dc6fb3223755,619.383,23.0747,37.764,2.63086,0,,2021-05-09 00:06:21.703246
418227,d51f3181-9500-418f-8a98-6627fbc63a20,669.914,24.2496,37.5122,5.7879,0,,2021-05-09 00:06:27.983111
418229,daa63802-cd45-4a4a-938d-9d259fb11ae2,663.084,21.7849,46.6309,4.20938,0,,2021-05-09 00:06:43.009045
418230,d51f3181-9500-418f-8a98-6627fbc63a20,666.606,24.2363,37.4695,5.26172,0,,2021-05-09 00:06:45.011905
418240,6f2445f6-a867-4125-a738-dc6fb3223755,613.515,23.0747,37.764,2.10469,0,,2021-05-09 00:07:50.042003
418242,daa63802-cd45-4a4a-938d-9d259fb11ae2,671.212,21.8143,46.8079,4.20938,0,,2021-05-09 00:07:58.741811
418250,d51f3181-9500-418f-8a98-6627fbc63a20,652.82,24.2496,37.4863,5.7879,0,,2021-05-09 00:08:44.514069
418251,daa63802-cd45-4a4a-938d-9d259fb11ae2,675.366,21.7849,46.9131,4.20938,0,,2021-05-09 00:08:51.506884
418252,6f2445f6-a867-4125-a738-dc6fb3223755,609.602,23.1067,37.7823,3.15703,0,,2021-05-09 00:09:00.939893
418254,daa63802-cd45-4a4a-938d-9d259fb11ae2,677.472,21.8009,47.0001,3.68297,0,,2021-05-09 00:09:09.653356
418260,daa63802-cd45-4a4a-938d-9d259fb11ae2,679.507,21.8009,46.8277,4.20938,0,,2021-05-09 00:09:45.591018
418261,d51f3181-9500-418f-8a98-6627fbc63a20,646.559,24.2363,37.4832,5.78765,0,,2021-05-09 00:09:53.018717
