M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
234073,6f2445f6-a867-4125-a738-dc6fb3223755,497.569,23.1201,25.3021,14.2067,0,,2021-04-23 02:16:31.523469
234074,daa63802-cd45-4a4a-938d-9d259fb11ae2,1646.0,21.5045,49.7055,2.63086,0,,2021-04-23 02:16:36.021151
234075,d51f3181-9500-418f-8a98-6627fbc63a20,523.872,23.4993,33.8745,5.7879,0,,2021-04-23 02:16:45.605988
234076,6f2445f6-a867-4125-a738-dc6fb3223755,497.814,23.1067,25.3021,14.7326,0,,2021-04-23 02:16:49.018316
234077,daa63802-cd45-4a4a-938d-9d259fb11ae2,1646.01,21.5045,49.765,2.63086,0,,2021-04-23 02:16:53.602436
234078,d51f3181-9500-418f-8a98-6627fbc63a20,522.593,23.4993,33.7875,5.7879,0,,2021-04-23 02:17:02.204591
234079,6f2445f6-a867-4125-a738-dc6fb3223755,498.076,23.1361,25.2884,14.2064,0,,2021-04-23 02:17:06.498023
234080,daa63802-cd45-4a4a-938d-9d259fb11ae2,1646.84,21.5179,49.8291,2.63064,0,,2021-04-23 02:17:10.107291
234081,d51f3181-9500-418f-8a98-6627fbc63a20,522.475,23.4859,33.7845,5.7879,0,,2021-04-23 02:17:19.297408
234082,6f2445f6-a867-4125-a738-dc6fb3223755,498.87,23.1067,25.3021,14.7326,0,,2021-04-23 02:17:24.532657
234083,daa63802-cd45-4a4a-938d-9d259fb11ae2,1649.15,21.4885,49.7757,2.63086,0,,2021-04-23 02:17:28.227198
234084,d51f3181-9500-418f-8a98-6627fbc63a20,522.535,23.5126,33.8196,6.31383,0,,2021-04-23 02:17:36.387731
234085,6f2445f6-a867-4125-a738-dc6fb3223755,499.425,23.1495,25.3387,14.2067,0,,2021-04-23 02:17:42.126631
234086,daa63802-cd45-4a4a-938d-9d259fb11ae2,1651.58,21.5179,49.8291,2.63086,0,,2021-04-23 02:17:46.349498
234087,d51f3181-9500-418f-8a98-6627fbc63a20,521.924,23.4993,33.8608,6.31407,0,,2021-04-23 02:17:53.505272
234088,6f2445f6-a867-4125-a738-dc6fb3223755,501.076,23.1361,25.3052,14.2064,0,,2021-04-23 02:17:59.628533
234089,daa63802-cd45-4a4a-938d-9d259fb11ae2,1654.71,21.5045,49.8154,2.63086,0,,2021-04-23 02:18:06.414192
234090,d51f3181-9500-418f-8a98-6627fbc63a20,520.061,23.4859,33.8165,5.7879,0,,2021-04-23 02:18:10.592523
234091,6f2445f6-a867-4125-a738-dc6fb3223755,501.198,23.1361,25.2884,14.7326,0,,2021-04-23 02:18:17.626931
234092,daa63802-cd45-4a4a-938d-9d259fb11ae2,1656.95,21.5045,49.9023,2.63062,0,,2021-04-23 02:18:24.252265
234093,d51f3181-9500-418f-8a98-6627fbc63a20,520.013,23.4993,33.8165,5.78765,0,,2021-04-23 02:18:27.714415
234094,6f2445f6-a867-4125-a738-dc6fb3223755,501.92,23.1495,25.3052,14.2064,0,,2021-04-23 02:18:35.273697
234095,daa63802-cd45-4a4a-938d-9d259fb11ae2,1657.77,21.5312,49.9268,2.63086,0,,2021-04-23 02:18:42.471756
234096,d51f3181-9500-418f-8a98-6627fbc63a20,520.179,23.4859,33.8165,6.31383,0,,2021-04-23 02:18:44.802656
234097,6f2445f6-a867-4125-a738-dc6fb3223755,501.833,23.1361,25.3235,14.2064,0,,2021-04-23 02:18:53.472021
234098,daa63802-cd45-4a4a-938d-9d259fb11ae2,1657.36,21.5179,49.9771,2.63062,0,,2021-04-23 02:19:00.488794
234099,d51f3181-9500-418f-8a98-6627fbc63a20,520.707,23.4859,33.844,6.31407,0,,2021-04-23 02:19:01.906611
234100,6f2445f6-a867-4125-a738-dc6fb3223755,502.736,23.1361,25.3525,14.2064,0,,2021-04-23 02:19:10.661018
234101,daa63802-cd45-4a4a-938d-9d259fb11ae2,1656.33,21.5473,50.0671,2.63086,0,,2021-04-23 02:19:18.685947
234102,d51f3181-9500-418f-8a98-6627fbc63a20,520.806,23.4993,33.8882,5.7879,0,,2021-04-23 02:19:18.991303
234103,6f2445f6-a867-4125-a738-dc6fb3223755,501.894,23.1361,25.3052,14.7326,0,,2021-04-23 02:19:28.349852
234104,d51f3181-9500-418f-8a98-6627fbc63a20,520.013,23.4993,33.847,5.7879,0,,2021-04-23 02:19:36.092818
234105,daa63802-cd45-4a4a-938d-9d259fb11ae2,1654.11,21.5312,50.0763,2.63062,0,,2021-04-23 02:19:38.997286
234106,6f2445f6-a867-4125-a738-dc6fb3223755,501.856,23.1201,25.2731,14.7326,0,,2021-04-23 02:19:45.940486
234107,d51f3181-9500-418f-8a98-6627fbc63a20,519.329,23.4993,33.7875,5.7879,0,,2021-04-23 02:19:53.180773
234108,daa63802-cd45-4a4a-938d-9d259fb11ae2,1652.56,21.5045,50.0717,2.63086,0,,2021-04-23 02:19:56.900870
234109,6f2445f6-a867-4125-a738-dc6fb3223755,502.579,23.1067,25.351,14.7328,0,,2021-04-23 02:20:03.655055
234110,d51f3181-9500-418f-8a98-6627fbc63a20,519.695,23.4859,33.844,5.78767,0,,2021-04-23 02:20:10.300131
234111,daa63802-cd45-4a4a-938d-9d259fb11ae2,1651.89,21.5312,50.0763,2.63086,0,,2021-04-23 02:20:15.330892
234112,6f2445f6-a867-4125-a738-dc6fb3223755,501.061,23.1201,25.3525,14.2064,0,,2021-04-23 02:20:21.652710
234113,d51f3181-9500-418f-8a98-6627fbc63a20,519.944,23.4859,33.8165,6.31383,0,,2021-04-23 02:20:27.403191
234114,daa63802-cd45-4a4a-938d-9d259fb11ae2,1649.65,21.5473,50.1007,2.63086,0,,2021-04-23 02:20:33.398815
234115,6f2445f6-a867-4125-a738-dc6fb3223755,501.34,23.1201,25.3204,14.2064,0,,2021-04-23 02:20:39.370445
234116,d51f3181-9500-418f-8a98-6627fbc63a20,520.213,23.4726,33.815,5.7879,0,,2021-04-23 02:20:44.030204
234117,6f2445f6-a867-4125-a738-dc6fb3223755,500.557,23.1201,25.2426,14.2064,0,,2021-04-23 02:20:57.079707
234118,daa63802-cd45-4a4a-938d-9d259fb11ae2,1648.59,21.5179,50.1587,2.63086,0,,2021-04-23 02:20:59.503718
234119,d51f3181-9500-418f-8a98-6627fbc63a20,522.076,23.4993,33.8303,5.7879,0,,2021-04-23 02:21:01.088584
234120,6f2445f6-a867-4125-a738-dc6fb3223755,499.396,23.1201,25.2731,14.7328,0,,2021-04-23 02:21:14.400512
234121,daa63802-cd45-4a4a-938d-9d259fb11ae2,1647.61,21.5045,50.2182,2.63086,0,,2021-04-23 02:21:17.682383
234122,d51f3181-9500-418f-8a98-6627fbc63a20,521.89,23.4859,33.844,6.31407,0,,2021-04-23 02:21:18.185932
234123,6f2445f6-a867-4125-a738-dc6fb3223755,498.532,23.1201,25.3021,14.7326,0,,2021-04-23 02:21:32.569601
234124,d51f3181-9500-418f-8a98-6627fbc63a20,522.276,23.4993,33.8303,5.78767,0,,2021-04-23 02:21:35.293076
234125,daa63802-cd45-4a4a-938d-9d259fb11ae2,1647.52,21.5312,50.1999,2.63086,0,,2021-04-23 02:21:35.369550
234126,6f2445f6-a867-4125-a738-dc6fb3223755,497.662,23.1201,25.209,14.2064,0,,2021-04-23 02:21:50.182011
