M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
328314,6f2445f6-a867-4125-a738-dc6fb3223755,495.252,23.2189,36.4975,3.68321,0,,2021-05-01 02:56:15.441860
328315,d51f3181-9500-418f-8a98-6627fbc63a20,757.801,22.7916,40.9317,10.5232,0,,2021-05-01 02:56:31.126884
328320,6f2445f6-a867-4125-a738-dc6fb3223755,493.959,23.2189,36.4395,3.68321,0,,2021-05-01 02:57:08.834587
328323,d51f3181-9500-418f-8a98-6627fbc63a20,759.947,22.8344,40.9775,9.99703,0,,2021-05-01 02:57:39.107974
328324,6f2445f6-a867-4125-a738-dc6fb3223755,492.981,23.2189,36.4105,4.20938,0,,2021-05-01 02:57:43.854924
328329,d51f3181-9500-418f-8a98-6627fbc63a20,759.503,22.8183,40.9485,10.5232,0,,2021-05-01 02:58:30.009773
328330,6f2445f6-a867-4125-a738-dc6fb3223755,491.418,23.2055,36.3937,4.20938,0,,2021-05-01 02:58:37.282054
328333,d51f3181-9500-418f-8a98-6627fbc63a20,759.223,22.8183,40.8951,10.5234,0,,2021-05-01 02:59:04.524947
328337,d51f3181-9500-418f-8a98-6627fbc63a20,758.316,22.8183,40.9088,10.5234,0,,2021-05-01 02:59:38.516560
328338,6f2445f6-a867-4125-a738-dc6fb3223755,489.519,23.1922,36.4075,4.20938,0,,2021-05-01 02:59:47.721428
328345,d51f3181-9500-418f-8a98-6627fbc63a20,756.121,22.805,40.8401,10.5232,0,,2021-05-01 03:00:46.603394
328346,6f2445f6-a867-4125-a738-dc6fb3223755,487.133,23.2055,36.4105,3.68321,0,,2021-05-01 03:00:58.389596
328349,d51f3181-9500-418f-8a98-6627fbc63a20,757.779,22.8344,40.5594,11.0494,0,,2021-05-01 03:01:20.624682
328350,6f2445f6-a867-4125-a738-dc6fb3223755,488.293,23.1922,36.438,3.68321,0,,2021-05-01 03:01:34.014568
328354,6f2445f6-a867-4125-a738-dc6fb3223755,488.721,23.2055,36.4243,4.20938,0,,2021-05-01 03:02:09.616151
328359,d51f3181-9500-418f-8a98-6627fbc63a20,747.885,22.8183,40.6921,11.0496,0,,2021-05-01 03:02:46.102765
328362,d51f3181-9500-418f-8a98-6627fbc63a20,748.596,22.805,40.7715,10.5232,0,,2021-05-01 03:03:20.101180
328366,d51f3181-9500-418f-8a98-6627fbc63a20,750.71,22.7916,40.7425,10.5232,0,,2021-05-01 03:03:54.118455
328367,6f2445f6-a867-4125-a738-dc6fb3223755,490.893,23.1762,36.4655,4.20914,0,,2021-05-01 03:03:55.535432
328370,d51f3181-9500-418f-8a98-6627fbc63a20,753.021,22.7916,40.7425,11.0494,0,,2021-05-01 03:04:28.119484
328371,6f2445f6-a867-4125-a738-dc6fb3223755,492.41,23.2055,36.4105,4.20938,0,,2021-05-01 03:04:31.242650
328374,d51f3181-9500-418f-8a98-6627fbc63a20,755.209,22.7916,40.7425,10.5232,0,,2021-05-01 03:05:02.651850
328377,6f2445f6-a867-4125-a738-dc6fb3223755,491.731,23.2055,36.4243,3.68321,0,,2021-05-01 03:05:24.236767
328380,d51f3181-9500-418f-8a98-6627fbc63a20,757.581,22.805,40.7333,10.5234,0,,2021-05-01 03:05:53.705934
328383,6f2445f6-a867-4125-a738-dc6fb3223755,485.73,23.1762,36.4349,3.68298,0,,2021-05-01 03:06:17.363104
328384,d51f3181-9500-418f-8a98-6627fbc63a20,760.433,22.7783,40.7013,9.99705,0,,2021-05-01 03:06:27.710909
