M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
297318,d51f3181-9500-418f-8a98-6627fbc63a20,1039.45,25.9373,33.1207,7.89258,0,,2021-04-28 00:28:06.639830
297319,d51f3181-9500-418f-8a98-6627fbc63a20,1039.91,25.9506,33.0475,7.89258,0,,2021-04-28 00:28:23.644827
297320,d51f3181-9500-418f-8a98-6627fbc63a20,1039.73,25.9373,33.0475,7.89234,0,,2021-04-28 00:28:40.616881
297321,d51f3181-9500-418f-8a98-6627fbc63a20,1037.89,25.9373,33.078,7.89258,0,,2021-04-28 00:28:57.623985
297322,d51f3181-9500-418f-8a98-6627fbc63a20,1037.8,25.9239,32.9865,7.89258,0,,2021-04-28 00:29:14.630071
297323,d51f3181-9500-418f-8a98-6627fbc63a20,1035.01,25.9239,32.959,7.36641,0,,2021-04-28 00:29:32.119403
297324,d51f3181-9500-418f-8a98-6627fbc63a20,1033.14,25.9239,33.0017,7.89258,0,,2021-04-28 00:29:49.157852
297325,d51f3181-9500-418f-8a98-6627fbc63a20,1030.66,25.9239,32.9865,7.89234,0,,2021-04-28 00:30:06.143552
297326,d51f3181-9500-418f-8a98-6627fbc63a20,1028.68,25.9373,32.7499,7.36641,0,,2021-04-28 00:30:23.120607
297327,d51f3181-9500-418f-8a98-6627fbc63a20,1023.74,25.9373,32.7499,7.36641,0,,2021-04-28 00:30:40.111162
297328,d51f3181-9500-418f-8a98-6627fbc63a20,1014.93,25.9506,32.7805,7.89258,0,,2021-04-28 00:30:57.205670
297329,d51f3181-9500-418f-8a98-6627fbc63a20,1001.22,25.9239,32.8995,7.89234,0,,2021-04-28 00:31:14.212506
297330,d51f3181-9500-418f-8a98-6627fbc63a20,990.917,25.9373,32.9453,7.89258,0,,2021-04-28 00:31:31.215329
297331,d51f3181-9500-418f-8a98-6627fbc63a20,996.327,25.8946,32.9559,7.89258,0,,2021-04-28 00:31:48.219683
297332,d51f3181-9500-418f-8a98-6627fbc63a20,996.154,25.9239,32.9422,7.89258,0,,2021-04-28 00:32:05.324543
297333,d51f3181-9500-418f-8a98-6627fbc63a20,995.567,25.9079,32.7911,7.89258,0,,2021-04-28 00:32:22.328479
297334,d51f3181-9500-418f-8a98-6627fbc63a20,998.509,25.8946,32.8964,7.89234,0,,2021-04-28 00:32:39.810392
297335,d51f3181-9500-418f-8a98-6627fbc63a20,998.289,25.9373,32.9453,7.89258,0,,2021-04-28 00:32:56.862921
297336,d51f3181-9500-418f-8a98-6627fbc63a20,998.396,25.9079,32.9559,7.36617,0,,2021-04-28 00:33:13.803332
297337,d51f3181-9500-418f-8a98-6627fbc63a20,998.707,25.8946,32.9834,7.89236,0,,2021-04-28 00:33:30.855379
297338,d51f3181-9500-418f-8a98-6627fbc63a20,1001.04,25.8946,33.0154,7.89234,0,,2021-04-28 00:33:47.823376
297339,d51f3181-9500-418f-8a98-6627fbc63a20,1003.53,25.8946,33.0002,7.89258,0,,2021-04-28 00:34:04.779529
297340,d51f3181-9500-418f-8a98-6627fbc63a20,1006.63,25.8812,33.0292,7.89258,0,,2021-04-28 00:34:21.814385
297341,d51f3181-9500-418f-8a98-6627fbc63a20,1008.61,25.9239,32.9865,7.89258,0,,2021-04-28 00:34:38.803821
297342,d51f3181-9500-418f-8a98-6627fbc63a20,1012.23,25.9079,33.0322,7.89234,0,,2021-04-28 00:34:56.322086
297343,d51f3181-9500-418f-8a98-6627fbc63a20,1013.25,25.8946,33.0887,7.36619,0,,2021-04-28 00:35:13.335515
297344,d51f3181-9500-418f-8a98-6627fbc63a20,1014.46,25.9079,33.0917,7.89258,0,,2021-04-28 00:35:30.533591
297345,d51f3181-9500-418f-8a98-6627fbc63a20,1015.05,25.8946,33.0734,7.89236,0,,2021-04-28 00:35:47.543185
297346,d51f3181-9500-418f-8a98-6627fbc63a20,1017.21,25.8946,33.1024,7.36641,0,,2021-04-28 00:36:04.523553
297347,d51f3181-9500-418f-8a98-6627fbc63a20,1018.36,25.9239,33.1055,7.89258,0,,2021-04-28 00:36:21.535614
297348,d51f3181-9500-418f-8a98-6627fbc63a20,1018.56,25.8946,33.1024,7.36619,0,,2021-04-28 00:36:38.535474
297349,d51f3181-9500-418f-8a98-6627fbc63a20,1018.56,25.8946,33.1329,7.89234,0,,2021-04-28 00:36:55.524018
297350,d51f3181-9500-418f-8a98-6627fbc63a20,1019.68,25.8652,33.1146,7.89258,0,,2021-04-28 00:37:12.518983
297351,d51f3181-9500-418f-8a98-6627fbc63a20,1018.09,25.8946,33.1482,7.89234,0,,2021-04-28 00:37:29.502826
297352,d51f3181-9500-418f-8a98-6627fbc63a20,1017.26,25.8946,33.1024,7.89258,0,,2021-04-28 00:37:46.522371
297353,d51f3181-9500-418f-8a98-6627fbc63a20,1016.37,25.8518,33.1146,7.89258,0,,2021-04-28 00:38:04.055703
297354,d51f3181-9500-418f-8a98-6627fbc63a20,1015.73,25.8946,33.2077,7.36617,0,,2021-04-28 00:38:21.018028
297355,d51f3181-9500-418f-8a98-6627fbc63a20,1015.6,25.9079,33.1512,7.89234,0,,2021-04-28 00:38:38.023972
297356,d51f3181-9500-418f-8a98-6627fbc63a20,1013.92,25.8812,33.1757,7.89234,0,,2021-04-28 00:38:55.009896
297357,d51f3181-9500-418f-8a98-6627fbc63a20,1013.27,25.8652,33.1894,7.89258,0,,2021-04-28 00:39:12.006065
297358,d51f3181-9500-418f-8a98-6627fbc63a20,1012.57,25.8812,33.1467,7.36619,0,,2021-04-28 00:39:29.034236
297359,d51f3181-9500-418f-8a98-6627fbc63a20,1011.53,25.8652,33.1741,7.89236,0,,2021-04-28 00:39:46.026035
297360,d51f3181-9500-418f-8a98-6627fbc63a20,1010.89,25.8652,33.2336,7.36641,0,,2021-04-28 00:40:02.983777
297361,d51f3181-9500-418f-8a98-6627fbc63a20,1009.67,25.9079,33.2077,7.36641,0,,2021-04-28 00:40:20.513205
297362,d51f3181-9500-418f-8a98-6627fbc63a20,1008.88,25.8946,33.2245,7.89258,0,,2021-04-28 00:40:37.568092
297363,d51f3181-9500-418f-8a98-6627fbc63a20,1009.72,25.8812,33.2062,7.89258,0,,2021-04-28 00:40:54.558205
297364,d51f3181-9500-418f-8a98-6627fbc63a20,1009.32,25.8812,33.2352,7.89234,0,,2021-04-28 00:41:11.520977
297365,d51f3181-9500-418f-8a98-6627fbc63a20,1009.9,25.8652,33.2657,7.89258,0,,2021-04-28 00:41:28.537333
297366,d51f3181-9500-418f-8a98-6627fbc63a20,1010.46,25.8652,33.2657,7.89258,0,,2021-04-28 00:41:45.518483
297367,d51f3181-9500-418f-8a98-6627fbc63a20,1012.39,25.8946,33.284,7.89258,0,,2021-04-28 00:42:02.526838
297368,d51f3181-9500-418f-8a98-6627fbc63a20,1013.62,25.8652,33.2947,7.89258,0,,2021-04-28 00:42:19.506811
297369,d51f3181-9500-418f-8a98-6627fbc63a20,1013.0,25.8812,33.2657,6.84024,0,,2021-04-28 00:42:37.001747
297370,d51f3181-9500-418f-8a98-6627fbc63a20,1013.9,25.8812,33.2977,7.89236,0,,2021-04-28 00:42:54.022427
297371,d51f3181-9500-418f-8a98-6627fbc63a20,1014.22,25.8652,33.2657,7.89236,0,,2021-04-28 00:43:11.033536
297372,d51f3181-9500-418f-8a98-6627fbc63a20,1015.22,25.8652,33.3221,7.89258,0,,2021-04-28 00:43:28.017629
297373,d51f3181-9500-418f-8a98-6627fbc63a20,1014.44,25.8652,33.2794,7.89236,0,,2021-04-28 00:43:45.042141
297374,d51f3181-9500-418f-8a98-6627fbc63a20,1013.83,25.8652,33.3084,7.89258,0,,2021-04-28 00:44:02.038460
297375,d51f3181-9500-418f-8a98-6627fbc63a20,1014.05,25.8652,33.3084,7.89236,0,,2021-04-28 00:44:18.999003
297376,d51f3181-9500-418f-8a98-6627fbc63a20,1014.68,25.8652,33.2947,7.89258,0,,2021-04-28 00:44:35.994650
297377,d51f3181-9500-418f-8a98-6627fbc63a20,1014.01,25.8812,33.3252,7.89258,0,,2021-04-28 00:44:53.017073
297378,d51f3181-9500-418f-8a98-6627fbc63a20,1012.03,25.8652,33.3389,7.36641,0,,2021-04-28 00:45:10.528423
297379,d51f3181-9500-418f-8a98-6627fbc63a20,1009.6,25.8812,33.3084,7.36619,0,,2021-04-28 00:45:27.531630
297380,d51f3181-9500-418f-8a98-6627fbc63a20,1009.33,25.8518,33.3221,7.89236,0,,2021-04-28 00:45:44.580145
297381,d51f3181-9500-418f-8a98-6627fbc63a20,1007.86,25.8518,33.2947,7.89258,0,,2021-04-28 00:46:01.601349
297382,d51f3181-9500-418f-8a98-6627fbc63a20,1007.36,25.8652,33.3221,7.89234,0,,2021-04-28 00:46:18.658114
297383,d51f3181-9500-418f-8a98-6627fbc63a20,1007.25,25.8652,33.2947,7.89258,0,,2021-04-28 00:46:35.637533
297384,d51f3181-9500-418f-8a98-6627fbc63a20,1007.99,25.8652,33.3084,7.89236,0,,2021-04-28 00:46:52.627411
297385,d51f3181-9500-418f-8a98-6627fbc63a20,1005.88,25.8518,33.3389,7.89258,0,,2021-04-28 00:47:09.597146
297386,d51f3181-9500-418f-8a98-6627fbc63a20,1006.82,25.8812,33.2809,7.89258,0,,2021-04-28 00:47:26.608185
297387,d51f3181-9500-418f-8a98-6627fbc63a20,1005.53,25.8652,33.2947,7.89258,0,,2021-04-28 00:47:44.099764
297388,d51f3181-9500-418f-8a98-6627fbc63a20,1005.27,25.8518,33.2947,7.89234,0,,2021-04-28 00:48:01.138791
