M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
622348,6f2445f6-a867-4125-a738-dc6fb3223755,615.864,23.3764,41.2842,14.7328,0,,2021-05-25 00:03:09.726073
622349,d51f3181-9500-418f-8a98-6627fbc63a20,819.996,26.1055,39.6912,10.5234,0,,2021-05-25 00:03:14.897629
622350,daa63802-cd45-4a4a-938d-9d259fb11ae2,1786.07,21.7155,56.5445,1.57852,0,,2021-05-25 00:03:24.808942
622351,6f2445f6-a867-4125-a738-dc6fb3223755,612.502,23.3604,41.2552,14.7326,0,,2021-05-25 00:03:27.381332
622352,d51f3181-9500-418f-8a98-6627fbc63a20,818.492,26.1215,39.6942,10.5234,0,,2021-05-25 00:03:31.935353
622353,daa63802-cd45-4a4a-938d-9d259fb11ae2,1788.36,21.7422,56.5735,1.57852,0,,2021-05-25 00:03:42.934759
622354,6f2445f6-a867-4125-a738-dc6fb3223755,609.85,23.3604,41.2689,14.2064,0,,2021-05-25 00:03:45.137548
622355,d51f3181-9500-418f-8a98-6627fbc63a20,816.642,26.1349,39.7919,10.5232,0,,2021-05-25 00:03:48.886685
622356,daa63802-cd45-4a4a-938d-9d259fb11ae2,1790.13,21.7288,56.5262,1.57852,0,,2021-05-25 00:04:01.052585
622357,6f2445f6-a867-4125-a738-dc6fb3223755,608.29,23.3764,41.2704,15.2588,0,,2021-05-25 00:04:03.170433
622358,d51f3181-9500-418f-8a98-6627fbc63a20,815.887,26.1215,39.7369,10.5232,0,,2021-05-25 00:04:05.911810
622360,6f2445f6-a867-4125-a738-dc6fb3223755,607.432,23.3604,41.2415,14.7326,0,,2021-05-25 00:04:20.909586
622361,d51f3181-9500-418f-8a98-6627fbc63a20,814.505,26.1215,39.7079,10.5232,0,,2021-05-25 00:04:22.941461
622362,daa63802-cd45-4a4a-938d-9d259fb11ae2,1792.46,21.7582,56.5765,1.57852,0,,2021-05-25 00:04:37.319014
622365,daa63802-cd45-4a4a-938d-9d259fb11ae2,1793.28,21.7288,56.5262,1.57852,0,,2021-05-25 00:04:55.451665
622366,6f2445f6-a867-4125-a738-dc6fb3223755,604.904,23.3337,41.2231,15.2588,0,,2021-05-25 00:04:56.176423
