M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
17399,d51f3181-9500-418f-8a98-6627fbc63a20,1240.32,23.4566,33.7387,,0,,2021-03-24 00:00:10.599559
17400,6f2445f6-a867-4125-a738-dc6fb3223755,916.609,23.7877,32.5195,1.57852,0,,2021-03-24 00:00:15.927712
17401,d51f3181-9500-418f-8a98-6627fbc63a20,1241.05,23.4432,33.7067,1.57852,0,,2021-03-24 00:00:27.402009
17402,6f2445f6-a867-4125-a738-dc6fb3223755,917.642,23.801,32.5211,1.57852,0,,2021-03-24 00:00:33.598576
17403,d51f3181-9500-418f-8a98-6627fbc63a20,1239.74,23.4566,33.7234,1.05234,0,,2021-03-24 00:00:44.653046
17404,6f2445f6-a867-4125-a738-dc6fb3223755,916.58,23.801,32.5668,1.57852,0,,2021-03-24 00:00:51.378101
17405,d51f3181-9500-418f-8a98-6627fbc63a20,1238.36,23.4566,33.7097,1.05234,0,,2021-03-24 00:01:01.496905
17406,6f2445f6-a867-4125-a738-dc6fb3223755,917.231,23.7877,32.5348,1.57852,0,,2021-03-24 00:01:09.162294
17407,d51f3181-9500-418f-8a98-6627fbc63a20,1240.08,23.4566,33.6792,,0,,2021-03-24 00:01:18.835785
17408,6f2445f6-a867-4125-a738-dc6fb3223755,917.936,23.7743,32.5348,1.57852,0,,2021-03-24 00:01:26.465750
17409,d51f3181-9500-418f-8a98-6627fbc63a20,1240.27,23.4432,33.7234,1.05234,0,,2021-03-24 00:01:35.614975
17410,6f2445f6-a867-4125-a738-dc6fb3223755,918.805,23.801,32.6019,1.57852,0,,2021-03-24 00:01:44.714444
17411,d51f3181-9500-418f-8a98-6627fbc63a20,1236.24,23.4432,33.7067,,0,,2021-03-24 00:01:52.934543
17412,6f2445f6-a867-4125-a738-dc6fb3223755,919.144,23.7877,32.5516,1.57852,0,,2021-03-24 00:02:02.293540
17413,d51f3181-9500-418f-8a98-6627fbc63a20,1233.76,23.4432,33.7524,1.05234,0,,2021-03-24 00:02:09.688209
17414,6f2445f6-a867-4125-a738-dc6fb3223755,918.756,23.7743,32.5806,1.57852,0,,2021-03-24 00:02:20.117713
17415,d51f3181-9500-418f-8a98-6627fbc63a20,1233.2,23.4432,33.7234,1.57852,0,,2021-03-24 00:02:26.952003
17416,6f2445f6-a867-4125-a738-dc6fb3223755,918.659,23.7877,32.6294,1.57852,0,,2021-03-24 00:02:37.388217
17417,d51f3181-9500-418f-8a98-6627fbc63a20,1234.14,23.4298,33.7204,1.05234,0,,2021-03-24 00:02:43.767571
17674,d51f3181-9500-418f-8a98-6627fbc63a20,1191.33,23.3444,33.609,1.05234,0,,2021-03-24 00:32:20.182478
17676,d51f3181-9500-418f-8a98-6627fbc63a20,1190.26,23.331,33.606,,0,,2021-03-24 00:32:37.468503
17679,6f2445f6-a867-4125-a738-dc6fb3223755,919.61,23.6301,33.2199,1.57852,1,,2021-03-24 00:33:02.780503
17681,6f2445f6-a867-4125-a738-dc6fb3223755,921.359,23.6301,33.316,1.57852,0,,2021-03-24 00:33:20.377828
17682,d51f3181-9500-418f-8a98-6627fbc63a20,1187.29,23.3444,33.609,1.57852,0,,2021-03-24 00:33:28.350204
17685,6f2445f6-a867-4125-a738-dc6fb3223755,929.142,23.6168,33.4396,1.57852,0,,2021-03-24 00:33:55.896854
17689,6f2445f6-a867-4125-a738-dc6fb3223755,944.935,23.6168,33.5358,1.57852,1,,2021-03-24 00:34:31.319535
17692,d51f3181-9500-418f-8a98-6627fbc63a20,1185.46,23.331,33.606,,0,,2021-03-24 00:34:54.060590
17695,6f2445f6-a867-4125-a738-dc6fb3223755,1018.76,23.6301,33.5678,14.7326,1,,2021-03-24 00:35:24.430594
17697,6f2445f6-a867-4125-a738-dc6fb3223755,1017.92,23.6007,33.5648,14.7326,0,,2021-03-24 00:35:42.269614
17700,d51f3181-9500-418f-8a98-6627fbc63a20,1182.61,23.3444,33.609,,0,,2021-03-24 00:36:02.164350
17703,6f2445f6-a867-4125-a738-dc6fb3223755,1007.87,23.6168,33.5678,14.7326,0,,2021-03-24 00:36:35.035751
17706,d51f3181-9500-418f-8a98-6627fbc63a20,1182.68,23.331,33.5632,1.57852,0,,2021-03-24 00:36:53.508980
17709,d51f3181-9500-418f-8a98-6627fbc63a20,1180.46,23.315,33.577,,0,,2021-03-24 00:37:27.661702
