m_id,sensor_uuid,co2,temperature,humidity,distance,movements,measure_timestamp,insert_timestamp
121061,6f2445f6-a867-4125-a738-dc6fb3223755,703.544,22.7516,31.4575,14.7326,0,,2021-04-14T00:00:06.817Z
121062,d51f3181-9500-418f-8a98-6627fbc63a20,1135.88,24.4232,35.0647,5.7879,0,,2021-04-14T00:00:07.569Z
121063,daa63802-cd45-4a4a-938d-9d259fb11ae2,1895.25,20.5272,47.1161,1.57852,0,,2021-04-14T00:00:11.095Z
121064,6f2445f6-a867-4125-a738-dc6fb3223755,687.332,22.7649,31.427,15.2588,0,,2021-04-14T00:00:24.431Z
121065,d51f3181-9500-418f-8a98-6627fbc63a20,1137.31,24.4072,35.1028,5.7879,0,,2021-04-14T00:00:24.593Z
121066,daa63802-cd45-4a4a-938d-9d259fb11ae2,1899.52,20.5539,47.1298,1.57852,0,,2021-04-14T00:00:28.935Z
121067,d51f3181-9500-418f-8a98-6627fbc63a20,1139.93,24.4072,35.0784,5.7879,0,,2021-04-14T00:00:41.573Z
121068,6f2445f6-a867-4125-a738-dc6fb3223755,678.238,22.7649,31.395,15.259,0,,2021-04-14T00:00:41.927Z
121069,daa63802-cd45-4a4a-938d-9d259fb11ae2,1900.33,20.5405,47.1191,1.57852,0,,2021-04-14T00:00:47.243Z
121070,d51f3181-9500-418f-8a98-6627fbc63a20,1143.02,24.4072,35.1166,5.7879,0,,2021-04-14T00:00:58.572Z
121071,6f2445f6-a867-4125-a738-dc6fb3223755,674.888,22.7222,31.4392,15.2588,0,,2021-04-14T00:00:59.924Z
121072,daa63802-cd45-4a4a-938d-9d259fb11ae2,1903.0,20.5112,47.1619,1.57852,0,,2021-04-14T00:01:05.469Z
121073,d51f3181-9500-418f-8a98-6627fbc63a20,1144.76,24.4072,35.1425,5.7879,0,,2021-04-14T00:01:15.570Z
121074,6f2445f6-a867-4125-a738-dc6fb3223755,674.125,22.7222,31.4087,15.2588,0,,2021-04-14T00:01:17.545Z
121075,daa63802-cd45-4a4a-938d-9d259fb11ae2,1903.31,20.5272,47.1527,1.57852,0,,2021-04-14T00:01:23.508Z
121076,d51f3181-9500-418f-8a98-6627fbc63a20,1145.97,24.4072,35.1166,5.7879,0,,2021-04-14T00:01:32.584Z
