M_ID,SENSOR_UUID,CO2,TEMPERATURE,HUMIDITY,DISTANCE,MOVEMENTS,MEASURE_TIMESTAMP,INSERT_TIMESTAMP
392928,d51f3181-9500-418f-8a98-6627fbc63a20,723.939,22.2522,42.0792,12.1017,0,,2021-05-07 03:34:05.432231
392930,6f2445f6-a867-4125-a738-dc6fb3223755,544.185,23.6728,37.294,2.10469,0,,2021-05-07 03:34:12.827147
392933,daa63802-cd45-4a4a-938d-9d259fb11ae2,1991.36,21.7155,56.6467,2.63086,0,,2021-05-07 03:34:32.280417
392934,d51f3181-9500-418f-8a98-6627fbc63a20,725.514,22.2522,42.1707,12.1017,0,,2021-05-07 03:34:39.932856
392936,daa63802-cd45-4a4a-938d-9d259fb11ae2,1994.05,21.7021,56.691,2.63086,0,,2021-05-07 03:34:50.644546
392939,daa63802-cd45-4a4a-938d-9d259fb11ae2,1997.56,21.7021,56.6788,2.63086,0,,2021-05-07 03:35:08.762131
392940,d51f3181-9500-418f-8a98-6627fbc63a20,724.477,22.2656,42.0242,12.1017,0,,2021-05-07 03:35:13.919554
392941,6f2445f6-a867-4125-a738-dc6fb3223755,541.289,23.6595,37.3215,2.63086,0,,2021-05-07 03:35:23.711148
392942,daa63802-cd45-4a4a-938d-9d259fb11ae2,1998.69,21.7021,56.7245,2.63086,0,,2021-05-07 03:35:26.910604
392943,d51f3181-9500-418f-8a98-6627fbc63a20,723.189,22.2389,42.0486,12.1017,0,,2021-05-07 03:35:30.960147
392945,daa63802-cd45-4a4a-938d-9d259fb11ae2,1998.91,21.7021,56.7596,2.63086,0,,2021-05-07 03:35:45.002185
392946,d51f3181-9500-418f-8a98-6627fbc63a20,721.702,22.2389,42.1982,12.1017,0,,2021-05-07 03:35:47.936313
392947,6f2445f6-a867-4125-a738-dc6fb3223755,540.454,23.6595,37.3917,2.10469,0,,2021-05-07 03:35:59.331271
392948,daa63802-cd45-4a4a-938d-9d259fb11ae2,1999.61,21.7155,56.7368,2.63086,0,,2021-05-07 03:36:04.743644
392949,d51f3181-9500-418f-8a98-6627fbc63a20,722.896,22.2522,42.2668,12.1017,0,,2021-05-07 03:36:04.910922
392951,daa63802-cd45-4a4a-938d-9d259fb11ae2,2001.02,21.7021,56.7337,2.63086,0,,2021-05-07 03:36:21.211160
392952,d51f3181-9500-418f-8a98-6627fbc63a20,726.331,22.2656,42.1997,11.5755,0,,2021-05-07 03:36:21.924867
392953,6f2445f6-a867-4125-a738-dc6fb3223755,541.524,23.6728,37.4084,2.63086,0,,2021-05-07 03:36:34.604547
392954,daa63802-cd45-4a4a-938d-9d259fb11ae2,1999.35,21.6861,56.723,2.63064,0,,2021-05-07 03:36:38.851625
392955,d51f3181-9500-418f-8a98-6627fbc63a20,729.031,22.2522,42.2089,12.102,0,,2021-05-07 03:36:39.428990
392958,daa63802-cd45-4a4a-938d-9d259fb11ae2,2000.44,21.7021,56.7337,2.63086,0,,2021-05-07 03:36:56.927753
392959,6f2445f6-a867-4125-a738-dc6fb3223755,545.196,23.6728,37.3672,2.63086,0,,2021-05-07 03:37:10.133727
392960,d51f3181-9500-418f-8a98-6627fbc63a20,729.49,22.2229,42.2211,12.1017,0,,2021-05-07 03:37:13.423359
392961,daa63802-cd45-4a4a-938d-9d259fb11ae2,1997.63,21.7021,56.7337,2.63086,0,,2021-05-07 03:37:14.999148
392964,daa63802-cd45-4a4a-938d-9d259fb11ae2,2000.35,21.6861,56.7429,2.63086,0,,2021-05-07 03:37:33.153796
